planning_area,total,below_sgd_1000,sgd_10000_to_10999,sgd_11000_to_11999,sgd_12000_over,sgd_1000_to_1499,sgd_1500_to_1999,sgd_2000_to_2499,sgd_2500_to_2999,sgd_3000_to_3999,sgd_4000_to_4999,sgd_5000_to_5999,sgd_6000_over,sgd_6000_to_6999,sgd_7000_to_7999,sgd_8000_over,sgd_8000_to_8999,sgd_9000_to_9999,sgd_1000_to_1999,sgd_2000_to_2999,sgd_12000_14999,sgd_15000_over,year,Result
Boon Lay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,
Bukit Batok,90480,5589,2636,2145,0,0,0,0,0,11626,9087,7371,0,5860,5152,0,4041,3221,12060,11316,4288,6088,2020,
Bukit Merah,78702,5897,2806,2318,0,0,0,0,0,7825,6249,6411,0,4718,4132,0,3552,2802,11943,8123,4404,7522,2020,
Choa Chu Kang,111121,7809,3255,2618,0,0,0,0,0,14563,13038,10682,0,7598,6128,0,5104,3787,13627,14344,3802,4766,2020,
Bukit Panjang,77490,5526,2085,1905,0,0,0,0,0,10562,8405,7140,0,4572,4177,0,3446,2398,10420,9520,2994,4340,2020,
Jurong East,41924,2817,1125,843,0,0,0,0,0,5364,4532,3688,0,2577,2393,0,1711,1374,6424,5593,1465,2018,2020,
Queenstown,48299,3010,1731,1403,0,0,0,0,0,4551,4081,3796,0,2883,2388,0,2367,1896,6385,5076,3292,5440,2020,
Jurong West,148786,10288,3428,2323,0,0,0,0,0,21789,17754,14433,0,10063,7255,0,6010,4563,20539,20398,4617,5326,2020,
Bukit Timah,37003,1779,1803,1334,0,0,0,0,0,2073,2116,2467,0,1695,1774,0,1677,1359,1979,1660,2661,12626,2020,
Central Water Catchment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,
Changi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,
Changi Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,
Tengah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,
Clementi,47609,2962,1925,1422,0,0,0,0,0,4203,3911,3848,0,3182,2648,0,2293,2038,5558,4702,3153,5764,2020,
Geylang,61060,4374,1953,1407,0,0,0,0,0,7549,5681,4562,0,3488,2561,0,2191,2007,9738,8060,2836,4653,2020,
Hougang,127241,9273,3577,2873,0,0,0,0,0,16688,12827,10695,0,7873,5989,0,5649,4091,18531,15877,5396,7902,2020,
Pioneer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,
Punggol,95536,5146,3765,2587,0,0,0,0,0,11021,10337,9577,0,7009,6845,0,5632,4402,9897,9542,5218,4558,2020,
Seletar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,
Sembawang,59509,3791,1754,1435,0,0,0,0,0,8024,6915,5857,0,4614,3438,0,2850,2037,6653,7743,2237,2161,2020,
Sengkang,141416,8651,5482,3875,0,0,0,0,0,16130,15469,12751,0,11198,8471,0,7626,5497,17230,15393,6995,6648,2020,
Serangoon,63558,3740,2490,1674,0,0,0,0,0,6299,5600,5431,0,3878,3426,0,3052,2427,7518,6247,3627,8149,2020,
Simpang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,
Southern Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,
Sungei Kadut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,
Tampines,144550,10239,4045,3474,0,0,0,0,0,19714,16078,12917,0,8953,7887,0,6103,4864,19330,17248,5856,7842,2020,
Tanglin,10205,344,501,326,0,0,0,0,0,487,383,612,0,387,427,0,487,325,335,383,809,4399,2020,
Toa Payoh,63553,4623,2030,1689,0,0,0,0,0,7174,5873,4725,0,4335,3212,0,2964,2652,8866,7074,3180,5156,2020,
Tuas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,
Western Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,
Western Water Catchment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,
Woodlands,138704,10550,2660,2353,0,0,0,0,0,19704,16449,12758,0,9353,6842,0,5611,4529,20131,21026,3944,2794,2020,
Yishun,122197,7834,2973,2222,0,0,0,0,0,16675,13441,11615,0,8184,6424,0,5009,3872,17867,18736,3320,4025,2020,
Downtown Core,1960,86,77,62,0,0,0,0,0,73,129,124,0,75,75,0,96,88,61,133,174,707,2020,
Marina East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,
Marina South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,
Museum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,
Newton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,
Orchard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,
Outram,9269,833,401,245,0,0,0,0,0,769,711,643,0,378,429,0,374,306,1656,1111,566,847,2020,
Kallang,54919,4055,2141,1213,0,0,0,0,0,5652,4849,4168,0,2989,2753,0,2169,2016,8341,6262,2828,5483,2020,
Lim Chu Kang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,
Mandai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,
Marine Parade,22128,1336,976,728,0,0,0,0,0,1956,1507,1558,0,1108,817,0,823,861,1867,1868,1473,5250,2020,
North-Eastern Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,
Novena,25168,1468,1032,594,0,0,0,0,0,2100,1852,1799,0,1239,1138,0,1250,867,2621,2165,1529,5514,2020,
Pasir Ris,84725,5604,3184,2385,0,0,0,0,0,10370,8790,7826,0,5773,4549,0,3966,3592,8239,9396,4308,6743,2020,
Paya Lebar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,
River Valley,5372,208,183,177,0,0,0,0,0,272,260,342,0,219,270,0,231,148,224,229,337,2272,2020,
Rochor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,
Singapore River,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,
Straits View,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,
