planning_area,bus,mrt,mrt_bus,mrt_car,mrt_other,taxi,car,pvt_chartered_bus,lorry_pickup,motorcycle_scooter,others,no_transport_required,other_combi_mrt_or_bus,mrt_lrt_only,mrt_lrt_and_bus,other_combi_mrt_lrt_or_bus,taxi_pvt_hire_car_only,pvt_chartered_bus_van,year
Southern Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Sungei Kadut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Tampines,15100,2800,11700,0,0,0,4400,4000,0,0,1400,11700,1100,0,0,0,0,0,2015
Tanglin,300,0,200,0,0,0,1200,900,0,0,200,500,0,0,0,0,0,0,2015
Toa Payoh,5000,1200,5200,0,0,0,2400,1700,0,0,100,4100,900,0,0,0,0,0,2015
Tuas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Western Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Western Water Catchment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Woodlands,11900,4600,13800,0,0,0,3500,2900,0,0,700,18000,800,0,0,0,0,0,2015
Yishun,6800,3300,8900,0,0,0,2900,2000,0,0,600,11400,600,0,0,0,0,0,2015
Downtown Core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Marina East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Marina South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Museum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Newton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Orchard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Outram,500,500,200,0,0,0,100,300,0,0,0,900,100,0,0,0,0,0,2015
Kallang,3200,1600,3600,0,0,0,1900,1900,0,0,200,2500,200,0,0,0,0,0,2015
Lim Chu Kang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Mandai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Marine Parade,1600,0,1300,0,0,0,1600,1100,0,0,0,1400,200,0,0,0,0,0,2015
North-Eastern Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Novena,2000,400,1200,0,0,0,1800,1000,0,0,0,1000,400,0,0,0,0,0,2015
Pasir Ris,8600,1400,9200,0,0,0,3700,2300,0,0,600,8400,900,0,0,0,0,0,2015
Paya Lebar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
River Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Rochor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Singapore River,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Straits View,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Ang Mo Kio,6740,0,0,0,0,0,3095,0,27,111,221,5535,0,1426,5523,260,95,1527,2020
Bedok,9837,0,0,0,0,0,8128,0,0,63,596,8299,0,2484,9419,791,434,3615,2020
Bishan,2837,0,0,0,0,0,3073,0,37,19,54,2771,0,1345,4010,174,118,931,2020
Boon Lay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Bukit Batok,7312,0,0,0,0,0,3444,0,120,100,93,5566,0,1891,6463,341,141,1800,2020
Bukit Merah,5321,0,0,0,0,0,2867,0,0,80,56,4303,0,1765,4885,306,213,2221,2020
Choa Chu Kang,6500,0,0,0,0,0,3119,0,77,335,170,9361,0,3090,11826,1817,201,1982,2020
Bukit Panjang,6340,0,0,0,0,0,3159,0,46,129,143,6659,0,1863,5458,2080,102,1342,2020
Jurong East,4174,0,0,0,0,0,1168,0,23,68,58,2083,0,519,3384,105,53,724,2020
Queenstown,3338,0,0,0,0,0,2091,0,9,9,140,3104,0,1351,2789,121,119,1161,2020
Jurong West,13306,0,0,0,0,0,5166,0,74,351,493,13449,0,2565,12893,875,161,2211,2020
Bukit Timah,2547,0,0,0,0,0,5697,0,0,7,141,2672,0,998,2383,155,227,1872,2020
Central Water Catchment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Changi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Changi Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Tengah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Clementi,4368,0,0,0,0,0,2990,0,16,52,72,3054,0,568,2909,228,128,1363,2020
Geylang,3640,0,0,0,0,0,1916,0,10,87,139,3164,0,1897,3926,186,84,1059,2020
Hougang,9819,0,0,0,0,0,4888,0,51,153,336,7841,0,1777,9269,538,292,1612,2020
Pioneer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Punggol,6066,0,0,0,0,0,4992,0,85,136,259,12879,0,2521,4844,3502,165,1623,2020
Seletar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Sembawang,2941,0,0,0,0,0,2239,0,36,104,144,5642,0,2933,5734,282,80,871,2020
Sengkang,11197,0,0,0,0,0,5855,0,83,192,487,16950,0,3760,8472,3683,273,2506,2020
Serangoon,3423,0,0,0,0,0,4014,0,0,53,94,2690,0,1515,5248,284,184,1350,2020
Simpang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Southern Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Sungei Kadut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Tampines,11416,0,0,0,0,0,4644,0,74,288,500,9591,0,2897,9549,822,190,3205,2020
Tanglin,451,0,0,0,0,0,1487,0,0,3,43,685,0,179,397,26,85,728,2020
Toa Payoh,4215,0,0,0,0,0,2466,0,20,100,153,4203,0,1724,4661,147,191,1080,2020
Tuas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Western Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Western Water Catchment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Woodlands,9383,0,0,0,0,0,3428,0,99,255,305,14819,0,4143,14689,778,309,1457,2020
Yishun,7903,0,0,0,0,0,4109,0,47,244,756,10444,0,2837,9630,466,200,1519,2020
Downtown Core,33,0,0,0,0,0,25,0,5,0,0,39,0,52,54,0,0,16,2020
Marina East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Marina South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Museum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Newton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Orchard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Outram,389,0,0,0,0,0,236,0,5,5,10,567,0,311,472,16,14,245,2020
Kallang,2482,0,0,0,0,0,1678,0,0,0,99,2599,0,1712,3785,107,113,1515,2020
Lim Chu Kang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Mandai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Marine Parade,1940,0,0,0,0,0,1937,0,4,0,76,1701,0,229,1159,68,117,927,2020
North-Eastern Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Novena,1679,0,0,0,0,0,2354,0,5,0,44,1419,0,263,1486,62,107,1047,2020
Pasir Ris,6691,0,0,0,0,0,4399,0,10,166,220,5830,0,1157,8418,438,170,1569,2020
Paya Lebar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
River Valley,180,0,0,0,0,0,564,0,0,0,32,281,0,63,334,11,41,447,2020
Rochor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Singapore River,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Straits View,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
