planning_area,english,mandarin,chinese_dialects,malay,tamil,other_indian_languages,others,eng_mand,eng_chn_dlt,eng_mly,eng_oth_ind_lang,eng_oth_lang,mand_eng,mand_chn_dlt,mand_oth_lang,chn_dlt_eng,chn_dlt_mand,chn_dlt_oth_lang,mly_eng,mly_oth_lang,tml_eng,tml_oth_lang,oth_ind_lang_eng,oth_ind_lang_oth_lang,oth_lang_eng,oth_lang_oth_non_eng_lang,eng_tml,year
Lim Chu Kang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Mandai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Marine Parade,20500,8900,5100,1500,600,900,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
North-Eastern Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Novena,21800,9600,5500,1400,600,300,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Pasir Ris,66900,34200,9100,19900,2000,500,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Paya Lebar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
River Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Rochor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Singapore River,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Straits View,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Ang Mo Kio,9539,12832,6155,2271,796,0,0,36610,5503,4148,992,1329,19424,15200,292,2161,9965,720,4324,112,3067,59,614,271,608,362,3920,2020
Bedok,21410,16472,7560,7811,400,0,0,65469,10488,16270,4778,2498,28120,19206,267,3155,10797,824,16584,207,2678,223,1395,316,1148,241,3281,2020
Bishan,7668,4086,1729,514,131,0,0,31664,4638,2233,712,1046,8935,5363,80,1278,3074,485,1154,84,1022,57,163,123,411,110,2259,2020
Boon Lay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Bukit Batok,7657,9602,2972,3497,770,0,0,36459,5416,9555,1824,1394,22282,12365,142,1404,6016,480,10885,139,3980,110,924,457,645,473,3813,2020
Bukit Merah,8007,6869,6780,2961,902,0,0,36364,5531,3475,1074,1569,15334,10737,87,2503,9163,675,4065,211,3026,144,509,63,797,372,3813,2020
Choa Chu Kang,7066,11464,3204,4017,1061,0,0,46256,3790,15386,1639,2102,29879,16025,168,1505,6726,373,17272,104,4292,227,852,280,927,244,6117,2020
Bukit Panjang,6491,7943,2786,2786,365,0,0,34770,3086,9066,1050,1109,21327,12674,191,1185,5749,354,10339,85,2315,101,521,71,609,146,3487,2020
Jurong East,2467,5522,2073,2565,560,0,0,14108,2289,4091,907,606,10379,6694,134,887,4476,382,6117,95,2305,96,441,84,410,135,2017,2020
Queenstown,6957,4345,3868,952,362,0,0,22797,4346,3041,980,1301,9537,5691,83,1948,4981,531,2992,65,1354,139,295,88,440,329,1394,2020
Jurong West,8122,23544,6087,8846,1652,0,0,48562,3815,17377,2010,2017,41370,23776,552,2304,10639,834,21689,141,7208,196,1236,388,1768,633,6144,2020
Bukit Timah,13183,1922,727,107,31,0,0,29593,5594,958,1126,1748,7374,2066,63,1036,1192,109,211,36,193,15,168,0,771,295,575,2020
Central Water Catchment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Changi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Changi Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Tengah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Clementi,5608,4768,2525,1844,343,0,0,25163,3892,3281,674,1153,10740,5977,130,1607,4111,340,3921,96,1551,78,507,42,558,213,1404,2020
Geylang,5107,7482,3491,2918,450,0,0,23100,3062,5113,1069,869,13001,9281,168,1474,5584,438,6466,113,1755,92,547,78,434,227,1102,2020
Hougang,12200,16119,5853,2794,889,0,0,58411,7643,8175,1524,1268,31768,20840,270,2363,10196,636,9605,86,4205,147,503,241,827,286,5382,2020
Pioneer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Punggol,8279,8255,2502,2306,377,0,0,53779,3829,13292,2286,1726,27731,9334,319,1482,5071,336,8902,94,1410,53,704,151,481,130,2720,2020
Seletar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Sembawang,4302,6911,1452,1628,343,0,0,22572,2073,7135,728,1216,18608,8252,125,907,3919,283,7838,70,1856,113,414,146,861,142,3353,2020
Sengkang,10765,16205,4327,3469,778,0,0,71585,5634,13760,3041,2745,38460,19762,254,2352,8670,731,12362,131,5314,78,1629,361,1156,164,6180,2020
Serangoon,11031,5367,2712,806,534,0,0,36060,6589,3009,850,823,13251,8774,137,1907,4736,318,2221,46,2226,60,312,66,420,113,3464,2020
Simpang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Southern Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Sungei Kadut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Tampines,13860,12843,4920,8611,399,0,0,56393,7333,24038,3569,1550,31880,18082,324,2718,10580,1016,29686,167,2721,60,1560,419,828,170,3624,2020
Tanglin,4235,327,124,0,7,0,0,6369,1550,424,884,943,1152,302,64,270,192,22,39,23,13,6,107,10,477,150,167,2020
Toa Payoh,6967,6561,3696,1365,297,0,0,31706,5365,3894,659,1056,14938,7844,207,1946,6211,473,3844,94,1926,79,247,85,592,251,1951,2020
Tuas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Western Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Western Water Catchment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Woodlands,7160,17323,3668,6666,853,0,0,38318,3545,25596,1797,1635,39702,22179,232,1349,7301,452,32726,173,6462,400,1533,420,1049,278,7701,2020
Yishun,7501,15429,4289,5353,776,0,0,40828,3754,15140,1878,1883,33359,18558,235,2284,9462,726,19626,206,5539,87,1255,171,1022,322,6723,2020
Downtown Core,404,127,26,0,0,0,0,675,93,87,37,116,237,81,0,55,88,0,5,0,0,0,13,0,36,0,14,2020
Marina East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Marina South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Museum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Newton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Orchard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Outram,843,1005,928,266,80,0,0,3440,426,664,111,154,1775,1418,16,231,1289,129,500,15,228,10,46,6,40,28,234,2020
Kallang,5797,5461,3341,1393,581,0,0,22012,3043,2162,2860,1033,9972,7928,79,1364,5661,658,2575,57,2677,118,891,324,520,174,2919,2020
Lim Chu Kang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Mandai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Marine Parade,5078,1954,774,554,54,0,0,13609,2748,1512,1964,773,3568,1780,72,676,1119,104,1301,50,317,14,449,72,221,71,451,2020
North-Eastern Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Novena,5610,2058,1125,155,259,0,0,14350,2569,1240,621,950,4578,2065,79,744,1739,177,684,10,698,35,221,61,379,91,756,2020
Pasir Ris,10350,5553,1424,2588,315,0,0,42988,6111,18579,1810,1835,17060,7581,54,1340,3537,373,11857,45,1146,85,616,99,835,149,2397,2020
Paya Lebar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
River Valley,1803,123,27,6,0,0,0,2707,550,269,755,646,687,124,42,143,127,11,55,0,23,0,34,0,201,114,120,2020
Rochor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Singapore River,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Straits View,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
